DDR5,Kingston,5600,5600,16GB,KF556C40BWK2-32,Hynix A-die,SS,v,,2,,,
DDR5,Kingston,5600,5600,16GB,KVR56U46BS8-16,Hynix A-die,SS,,,2,,,
DDR5,ADATA,6400,6400,24GB,AX5U6400C3224G-BLABK,Hynix M-die,SS,v,v,2,v,,
DDR5,G.Skill,6400,6400,24GB,F5-6400J3239F24GX2-TZ5NRW,Hynix M-die,SS,,v,2,v,,
DDR5,G.Skill,6400,6400,24GB,F5-6400J3239F24GX2-TZ5RK,Hynix M,SS,v,,2,v,,
DDR5,G.Skill,6400,6400,24GB,F5-6400J3648G24GX2-TZ5RK,SPECTEK,SS,v,,2,v,,
DDR5,G.Skill,6400,6400,24GB,F5-6400J3648G24GX2-TZ5RK,Hynix M,SS,v,,2,v,,
DDR5,V-Color,6400,6400,24GB,TMXFL2464836KWK,Hynix M-die,SS,v,,2,v,,
DDR5,Kingston,5600,5600,16GB,KF556C40BW-16,Hynix A-die,SS,v,,2,,,
DDR5,Kingston,5600,5600,16GB,KF556C36BWEK2-32,Hynix A-die,SS,v,v,2,,,
DDR5,Kingston,5600,5600,16GB,KF556C36BWEAK2-32,Hynix A-die,SS,v,v,2,,,
DDR5,Kingston,5600,5600,16GB,KF556C36BWEA-16,Hynix A-die,SS,v,v,2,,,
DDR5,Kingston,5600,5600,16GB,KF556C36BWE-16,Hynix A-die,SS,v,v,2,,,
DDR5,KLEVV,5600,5600,16GB,KD5AGU880-56G4600,Hynix A-die,DS,,,2,,,
DDR5,KLEVV,5600,5600,16GB,KD5AGUA80-56G4600,SK hynix,SS,,,2,,,
DDR5,KLEVV,5600,5600,16GB,KD5AGUA80-56G460A,SK hynix,SS,,,2,,,
DDR5,KLEVV,5600,5600,16GB,KD5AGUA80-56G460D,SK hynix,SS,,,2,,,
DDR5,KLEVV,5600,5600,16GB,KD5AGUA80-56K380Y,Hynix,SS,v,,2,,,
DDR5,Patriot,5600,5600,16GB,PVVR532G560C36K,Hynix,SS,v,,2,,,
DDR5,SILICON POWER,5600,5600,16GB,SP016GXLWU560FSJ,Hynix-A,SS,v,v,2/4,,,
DDR5,ADATA,6400,6400,16GB,AX5U6400C4016G-CCARGY,,SS,v,,2,v,,
DDR5,ADATA,6400,6400,16GB,AX5U6400C4016G-CLARBK,,SS,v,,2,v,,
DDR5,Team,5600,5600,16GB,FF4D532G5600HC32DC01,Hynix,SS,,,2,,,
DDR5,Team,5600,5600,16GB,FLRD532G5600HC32DC01,Hynix,SS,,,2,,,
DDR5,Team,5600,5600,16GB,FLBD532G5600HC32DC01,Hynix,SS,,,2,,,
DDR5,ADATA,6400,6400,16GB,AX5U6400C4016G-DCCARGY,,SS,v,,2,v,,
